game_id,season,week,top1_id,top1_p,top1_conf,top1_hit,top2_hit,vol_top1_hit,n_scorers,n_scorers_covered,recall_at2,recall_at3
2022_10_DEN_TEN,2022,10,3043078,0.521508412066606,100.0,0,0,0,2,1,0.0,0.0
2022_10_DET_CHI,2022,10,2980453,0.528440427737678,79.1,1,1,1,5,5,0.4,0.4
2022_10_HOU_NYG,2022,10,3929630,0.6145863176401944,87.9,1,1,1,4,3,0.25,0.25
2022_10_IND_LV,2022,10,4242335,0.41190014737156677,58.8,1,1,1,6,6,0.3333333333333333,0.5
2022_10_JAX_KC,2022,10,4239996,0.5121728958293399,58.1,0,1,0,5,5,0.2,0.2
2022_10_LAC_SF,2022,10,3068267,0.6147777654897313,87.5,0,0,0,3,3,0.0,0.3333333333333333
2022_10_MIN_BUF,2022,10,3116593,0.4456175255967064,76.5,1,1,1,5,4,0.4,0.4
2022_10_NO_PIT,2022,10,3054850,0.5015622974942004,81.0,0,1,0,3,3,0.3333333333333333,0.3333333333333333
2022_10_SEA_TB,2022,10,4567048,0.5586000469577164,93.4,0,0,0,5,5,0.0,0.2
2022_10_WAS_PHI,2022,10,4047646,0.4518770749979919,73.6,0,1,0,5,3,0.2,0.4
2022_11_TEN_GB,2022,11,3043078,0.4930623015210809,82.4,1,1,1,4,4,0.25,0.25
2022_11_CAR_BAL,2022,11,2979843,0.515471668886031,65.7,0,0,0,1,1,0.0,0.0
2022_11_CHI_ATL,2022,11,4362887,0.5534452940298953,55.5,1,1,1,5,5,0.2,0.4
2022_11_CIN_PIT,2022,11,3116385,0.5645156556362569,92.3,0,0,0,4,4,0.0,0.0
2022_11_CLE_BUF,2022,11,3128720,0.5621459869936403,62.8,0,1,0,4,4,0.25,0.25
2022_11_DAL_MIN,2022,11,3116593,0.5178532111328273,71.8,0,1,0,2,2,0.5,0.5
2022_11_DET_NYG,2022,11,3929630,0.5826187000686067,92.8,0,1,0,5,5,0.2,0.4
